post,sentiment,post_cleaned
Good morning every one,1,good morning
TW: S AssaultActually horrified how many friends of mine women I talk to have been sexually assaulted in past. Just found out another unhappy 😧,0,tw : s assaultactually horrified friends women talk sexually assaulted past . just unhappy _emoji_
Thanks by has notice of me Greetings : JossetteD'Hermanni,1,thanks notice greetings : jossetted hermanni
its ending soon aah unhappy 😧,0,ending soon aah unhappy _emoji_
My real time happy 😊,1,real time happy _emoji_
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy .2 😧,0,hope little beaand andot overworkiandg gettiandg rest unhappy . 2 _emoji_
WHY ARE YOU WHIMPER AT ME?,0,whimper ?
Thanks for the recent follow Happy to connect happy have a great Thursday. Want this.3 😊,1,thanks recent follow happy connect happy great thursday . want . 3 _emoji_
25x25? I can go first happy 😊,1,25x25 ? happy _emoji_
Biggest problem for paper books is storage unhappy 😧,0,biggest problem paper books storage unhappy _emoji_
GOD NOT THE KOALAS,0,god not koalas_NEG
fun and funny.... this book will warn up your kindle at night happy 😊,1,fun funny . . . . book warn kindle night happy _emoji_
No Celtics or Bruins today unhappy At least Sale is pitching for the Sox 😧,0,no celtics_NEG bruins_NEG today_NEG unhappy_NEG sale_NEG pitching_NEG sox_NEG _emoji_
I just did happy.1,1,just did happy . 1
thanks for the recent follow. Much appreciated happy Want this.2 😊,1,thanks recent follow . appreciated happy want . 2 _emoji_
24-20 unhappy 😧,0,24 20 unhappy _emoji_
and he's still taking over a quarter of the billboard charts while x is,0,s taking quarter billboard charts x
That's why I say at the end of my videos If you liked it,1,s say end videos liked
yeah sad 😔,0,yeah sad _emoji_
TypingCure,1,typingcure
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.10,0,damn . . . . theres people sincerely want attend bh birthday party bcs people try fun make ca . 10
Well thanks for stoping by unhappy 😧,0,thanks stoping unhappy _emoji_
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.12,0,damn . . . . theres people sincerely want attend bh birthday party bcs people try fun make ca . 12
I've Just Wrote 30 Tweets About But Still Didn't Notice Me crying 😆,0,ve just wrote 30 tweets didn t notice crying _emoji_
Okey unhappy 😧,0,okey unhappy _emoji_
good morning,1,good morning
Thanks for the recent follow Happy to connect happy have a great Thursday. Want this ?.3 😊,1,thanks recent follow happy connect happy great thursday . want ? . 3 _emoji_
Typed up all the medical shorthand abbreviation we use for work,0,typed medical shorthand abbreviation use work
it's such a negative pit of unhappiness,0,s negative pit unhappiness
Definitely my arms unhappy .6 😧,0,definitely arms unhappy . 6 _emoji_
Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?,1,did notice ? no killings_NEG rss_NEG bjp_NEG workers_NEG southern_NEG state_NEG ? cm dismantling xtian infra munnar ?
yes it would have if it hadn't been for those meddling clouds smile 😭,1,yes hadn t meddling clouds smile _emoji_
not applicablengarag not applicable this unhappy ill find more wonu pictures soon alxmdkcsnx 😧,0,not applicablengarag_NEG not applicable_NEG unhappy_NEG ill_NEG wonu_NEG pictures_NEG soon_NEG alxmdkcsnx_NEG _emoji_
Call Duration: Before sex: 01:47:36 After sex: 00:00:19 crying 😆,0,duration : sex : 01 : 47 : 36 sex : 00 : 00 : 19 crying _emoji_
.Is the winner of the donation giveaway,1,. winner donation giveaway
good luck! You have my vote smile 😭,1,good luck ! vote smile _emoji_
it would be awesome.,1,awesome .
New twitter acc. happy 😊,1,new twitter acc . happy _emoji_
Indeed,1,
We got a Vive tracker in the office and our intern,1,got vive tracker office intern
i know.. i really want his ranks to rise a lot during tmr's episode but seeing how many tweet about him.. unhappy 😧,0,know . . really want ranks rise lot tmr s episode seeing tweet . . unhappy _emoji_
dang guess my plans are ruined unhappy 😧,0,dang guess plans ruined unhappy _emoji_
The tutorial of Michel Grundstein Distinguishing Information from Knowledge.. will start at 15pm. Be here happy 😊,1,tutorial michel grundstein distinguishing information knowledge . . start 15pm . happy _emoji_
The manifesto,0,manifesto
1st day of JA Entertainment's Marathi Film Savita Damodar Paranjpe Have been a big fan of this story. Finally get,1,1st day ja entertainment s marathi film savita damodar paranjpe big fan story . finally
mane has been amazing unhappy .1 😧,0,mane amazing unhappy . 1 _emoji_
popping into a store,1,popping store
Remember- vocab knowledge is worth 75% of your grade! Will announce winner tomorrow morning at 10am! happy 15 to purchase! happy 😊 😊,1,remember vocab knowledge worth 75 grade ! announce winner tomorrow morning 10am ! happy 15 purchase ! happy _emoji_ _emoji_
oh my god same! we should attend on some lessons together sometime just kidding HAHAH,0,oh god ! attend lessons just kidding hahah
last kiss unhappy 😧,0,kiss unhappy _emoji_
WTF Canada 2017 and you are still in the 1700s. I Will Never support,0,wtf canada 2017 1700s . never support_NEG
If you really want to dye it don't go lighter,0,really want dye don t lighter
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not.4 😍,0,talking driver m goinghe said d love new york trump s probably not . 4 _emoji_
Note to self: Dont get to attached crying 😆,0,note self : dont attached crying _emoji_
Nothing could be better happy.2,1,nothing better_NEG happy_NEG . 2
wow this is amazing but i won't be in the country unhappy 😧,0,wow amazing won t country unhappy _emoji_
Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?.1,1,did notice ? no killings_NEG rss_NEG bjp_NEG workers_NEG southern_NEG state_NEG ? cm dismantling xtian infra munnar ? . 1
I think I'm going to check out Even though I hear it's not as good as UE4 I believe it might be cool to tr,1,think m going check hear s not good_NEG ue4_NEG believe_NEG cool_NEG tr_NEG
i don't think i'll be ever to edit long videos here unhappy i'll go try another editing software 😧,0,don t think ll edit long videos unhappy ll try editing software _emoji_
Ouch Elena Eremina's foot slip,0,ouch elena eremina s foot slip
You nailed it!!!!! Brought tears to my eyes,1,nailed ! ! ! ! ! brought tears eyes
the anniversary of josh's death unhappy 😧,0,anniversary josh s death unhappy _emoji_
Why is it so difficult for me to get at least a chance unhappy 😧,0,difficult chance unhappy _emoji_
always running out of space on my phone,1,running space phone
Roc Boyz sad .3 😔,0,roc boyz sad . 3 _emoji_
music and direction by of my favourites by.1,1,music direction favourites . 1
mutual: let's talk more!me: for sure!mutual: happy me:.8 😊,1,mutual : let s talk ! : sure ! mutual : happy : . 8 _emoji_
